Heure,Hydro Run-of-river and poundage,Solar,Waste,Wind Onshore
2023-01-01 00:00:00+01:00,4833,0,133,14137
2023-01-01 01:00:00+01:00,4849,0,135,11777
2023-01-01 02:00:00+01:00,4853,0,136,11437
2023-01-01 03:00:00+01:00,4715,0,136,11087
2023-01-01 04:00:00+01:00,4571,0,136,10718
2023-01-01 05:00:00+01:00,4524,0,138,10130
2023-01-01 06:00:00+01:00,4615,0,136,9717
2023-01-01 07:00:00+01:00,4620,0,133,9697
2023-01-01 08:00:00+01:00,4649,271,132,9141
2023-01-01 09:00:00+01:00,4673,867,132,10077
2023-01-01 10:00:00+01:00,4649,1962,131,9694
2023-01-01 11:00:00+01:00,4591,2858,128,9151
2023-01-01 12:00:00+01:00,4524,3349,124,8050
2023-01-01 13:00:00+01:00,4578,3131,123,7484
2023-01-01 14:00:00+01:00,4773,2394,122,7309
2023-01-01 15:00:00+01:00,4797,1460,119,7442
2023-01-01 16:00:00+01:00,4926,548,114,8058
2023-01-01 17:00:00+01:00,5323,206,113,9553
2023-01-01 18:00:00+01:00,5501,189,117,11352
2023-01-01 19:00:00+01:00,5616,0,114,12274
2023-01-01 20:00:00+01:00,5442,0,119,12555
2023-01-01 21:00:00+01:00,5087,0,117,12303
2023-01-01 22:00:00+01:00,4965,0,122,11955
2023-01-01 23:00:00+01:00,4828,0,125,11448
2023-01-02 00:00:00+01:00,4641,0,124,10994
2023-01-02 01:00:00+01:00,4589,0,125,10402
2023-01-02 02:00:00+01:00,4624,0,125,9985
2023-01-02 03:00:00+01:00,4501,0,123,9358
2023-01-02 04:00:00+01:00,4380,0,125,8449
2023-01-02 05:00:00+01:00,4403,0,123,7235
2023-01-02 06:00:00+01:00,4629,0,122,6562
2023-01-02 07:00:00+01:00,5076,0,121,6209
2023-01-02 08:00:00+01:00,5566,246,123,5625
2023-01-02 09:00:00+01:00,5469,555,123,5320
2023-01-02 10:00:00+01:00,5458,1302,120,4972
2023-01-02 11:00:00+01:00,5408,2033,119,4890
2023-01-02 12:00:00+01:00,5142,2589,114,5185
2023-01-02 13:00:00+01:00,5006,2735,112,5635
2023-01-02 14:00:00+01:00,5003,2199,107,5677
2023-01-02 15:00:00+01:00,5084,1341,114,5306
2023-01-02 16:00:00+01:00,5273,535,119,4677
2023-01-02 17:00:00+01:00,5713,204,118,4244
2023-01-02 18:00:00+01:00,6101,182,120,4206
2023-01-02 19:00:00+01:00,6011,0,117,4417
2023-01-02 20:00:00+01:00,5780,0,119,4312
2023-01-02 21:00:00+01:00,5582,0,118,4116
2023-01-02 22:00:00+01:00,5433,0,118,3937
2023-01-02 23:00:00+01:00,5206,0,119,3902
2023-01-03 00:00:00+01:00,4913,0,118,3838
2023-01-03 01:00:00+01:00,4858,0,121,4094
2023-01-03 02:00:00+01:00,4813,0,119,4244
2023-01-03 03:00:00+01:00,4628,0,120,4397
2023-01-03 04:00:00+01:00,4643,0,119,4499
2023-01-03 05:00:00+01:00,4790,0,117,4459
2023-01-03 06:00:00+01:00,5190,0,113,4584
2023-01-03 07:00:00+01:00,5741,0,111,4893
2023-01-03 08:00:00+01:00,6139,257,108,5167
2023-01-03 09:00:00+01:00,6310,785,110,5129
2023-01-03 10:00:00+01:00,6188,2089,110,5111
2023-01-03 11:00:00+01:00,6066,3502,113,5177
2023-01-03 12:00:00+01:00,5829,4158,120,5571
2023-01-03 13:00:00+01:00,5721,4096,128,6035
2023-01-03 14:00:00+01:00,5723,3356,133,6636
2023-01-03 15:00:00+01:00,5810,2199,133,7084
2023-01-03 16:00:00+01:00,5849,858,135,7504
2023-01-03 17:00:00+01:00,5830,224,130,8122
2023-01-03 18:00:00+01:00,6092,194,141,9191
2023-01-03 19:00:00+01:00,5968,0,132,10344
2023-01-03 20:00:00+01:00,5631,0,131,11138
2023-01-03 21:00:00+01:00,5489,0,130,11696
2023-01-03 22:00:00+01:00,5278,0,130,11803
2023-01-03 23:00:00+01:00,4872,0,133,12100
2023-01-04 00:00:00+01:00,4673,0,135,12424
2023-01-04 01:00:00+01:00,4383,0,132,12758
2023-01-04 02:00:00+01:00,4279,0,134,12900
2023-01-04 03:00:00+01:00,4198,0,135,12889
2023-01-04 04:00:00+01:00,4190,0,134,13068
2023-01-04 05:00:00+01:00,4161,0,133,13071
2023-01-04 06:00:00+01:00,4336,0,129,13133
2023-01-04 07:00:00+01:00,4716,0,128,13579
2023-01-04 08:00:00+01:00,5250,312,126,13632
2023-01-04 09:00:00+01:00,5230,1075,128,13637
2023-01-04 10:00:00+01:00,5185,2606,127,13613
2023-01-04 11:00:00+01:00,4936,3781,127,13537
2023-01-04 12:00:00+01:00,4683,4104,129,13520
2023-01-04 13:00:00+01:00,4501,4055,130,13559
2023-01-04 14:00:00+01:00,4425,3339,132,13544
2023-01-04 15:00:00+01:00,4415,2066,129,13502
2023-01-04 16:00:00+01:00,4655,790,129,13302
2023-01-04 17:00:00+01:00,5119,230,130,13004
2023-01-04 18:00:00+01:00,5557,196,129,12637
2023-01-04 19:00:00+01:00,5582,0,131,12158
2023-01-04 20:00:00+01:00,5256,0,134,12064
2023-01-04 21:00:00+01:00,4846,0,136,12329
2023-01-04 22:00:00+01:00,4584,0,134,11946
2023-01-04 23:00:00+01:00,4446,0,137,11520
2023-01-05 00:00:00+01:00,4113,0,136,11065
2023-01-05 01:00:00+01:00,3793,0,137,10443
2023-01-05 02:00:00+01:00,3587,0,137,9841
2023-01-05 03:00:00+01:00,3552,0,136,9182
2023-01-05 04:00:00+01:00,3549,0,136,8608
2023-01-05 05:00:00+01:00,3634,0,137,7867
2023-01-05 06:00:00+01:00,4084,0,134,7162
2023-01-05 07:00:00+01:00,4605,0,133,6608
2023-01-05 08:00:00+01:00,4903,298,135,5728
2023-01-05 09:00:00+01:00,5085,1033,124,4758
2023-01-05 10:00:00+01:00,5183,2403,122,4220
2023-01-05 11:00:00+01:00,5361,3456,125,4192
2023-01-05 12:00:00+01:00,5245,3917,124,4500
2023-01-05 13:00:00+01:00,5154,3850,125,4823
2023-01-05 14:00:00+01:00,5114,3303,123,4750
2023-01-05 15:00:00+01:00,5118,2112,127,4814
2023-01-05 16:00:00+01:00,5308,781,127,4655
2023-01-05 17:00:00+01:00,5855,220,126,4646
2023-01-05 18:00:00+01:00,6174,187,127,5059
2023-01-05 19:00:00+01:00,5948,0,126,5313
2023-01-05 20:00:00+01:00,5655,0,131,5311
2023-01-05 21:00:00+01:00,5432,0,129,5501
2023-01-05 22:00:00+01:00,5300,0,130,5383
2023-01-05 23:00:00+01:00,5214,0,134,5770
2023-01-06 00:00:00+01:00,4641,0,131,6114
2023-01-06 01:00:00+01:00,4299,0,133,6497
2023-01-06 02:00:00+01:00,4037,0,134,6675
2023-01-06 03:00:00+01:00,3955,0,135,6831
2023-01-06 04:00:00+01:00,3915,0,137,7027
2023-01-06 05:00:00+01:00,3977,0,139,7057
2023-01-06 06:00:00+01:00,4220,0,138,6892
2023-01-06 07:00:00+01:00,4541,0,134,6845
2023-01-06 08:00:00+01:00,5032,304,135,6605
2023-01-06 09:00:00+01:00,5267,974,134,6197
2023-01-06 10:00:00+01:00,5478,2280,133,6073
2023-01-06 11:00:00+01:00,5537,3418,121,6103
2023-01-06 12:00:00+01:00,5350,3962,122,6105
2023-01-06 13:00:00+01:00,5037,3876,127,6093
2023-01-06 14:00:00+01:00,4936,3094,130,5758
2023-01-06 15:00:00+01:00,4865,2048,132,5639
2023-01-06 16:00:00+01:00,5087,839,136,5600
2023-01-06 17:00:00+01:00,5785,227,135,5855
2023-01-06 18:00:00+01:00,6136,190,139,6155
2023-01-06 19:00:00+01:00,6055,0,140,6648
2023-01-06 20:00:00+01:00,5736,0,139,7063
2023-01-06 21:00:00+01:00,5386,0,138,7321
2023-01-06 22:00:00+01:00,5133,0,134,7354
2023-01-06 23:00:00+01:00,5050,0,135,7362
2023-01-07 00:00:00+01:00,4677,0,134,7338
2023-01-07 01:00:00+01:00,4470,0,133,7529
2023-01-07 02:00:00+01:00,4201,0,131,7959
2023-01-07 03:00:00+01:00,3848,0,131,8444
2023-01-07 04:00:00+01:00,3733,0,133,8879
2023-01-07 05:00:00+01:00,3742,0,134,9362
2023-01-07 06:00:00+01:00,3780,0,131,9784
2023-01-07 07:00:00+01:00,3946,0,131,10524
2023-01-07 08:00:00+01:00,4197,294,131,11145
2023-01-07 09:00:00+01:00,4546,1060,130,11625
2023-01-07 10:00:00+01:00,4704,2489,129,11874
2023-01-07 11:00:00+01:00,4664,3492,129,12443
2023-01-07 12:00:00+01:00,4550,3755,134,12934
2023-01-07 13:00:00+01:00,4287,3513,131,13152
2023-01-07 14:00:00+01:00,4202,2759,128,13158
2023-01-07 15:00:00+01:00,4175,1609,127,13166
2023-01-07 16:00:00+01:00,4253,612,129,13182
2023-01-07 17:00:00+01:00,4591,214,131,13515
2023-01-07 18:00:00+01:00,4881,190,131,13693
2023-01-07 19:00:00+01:00,4737,0,130,13343
2023-01-07 20:00:00+01:00,4234,0,133,13127
2023-01-07 21:00:00+01:00,4028,0,134,12684
2023-01-07 22:00:00+01:00,3915,0,134,11848
2023-01-07 23:00:00+01:00,3929,0,134,11593
2023-01-08 00:00:00+01:00,3836,0,135,11056
2023-01-08 01:00:00+01:00,3590,0,135,10977
2023-01-08 02:00:00+01:00,3433,0,136,10531
2023-01-08 03:00:00+01:00,3335,0,136,10328
2023-01-08 04:00:00+01:00,3237,0,135,10145
2023-01-08 05:00:00+01:00,3440,0,136,9943
2023-01-08 06:00:00+01:00,3532,0,133,9976
2023-01-08 07:00:00+01:00,3624,0,130,10008
2023-01-08 08:00:00+01:00,3983,249,134,10453
2023-01-08 09:00:00+01:00,4090,671,131,10177
2023-01-08 10:00:00+01:00,4239,1540,131,9964
2023-01-08 11:00:00+01:00,4524,2086,133,10242
2023-01-08 12:00:00+01:00,4731,2378,134,11041
2023-01-08 13:00:00+01:00,4488,2156,132,10839
2023-01-08 14:00:00+01:00,4390,1798,131,10491
2023-01-08 15:00:00+01:00,4469,1002,134,10386
2023-01-08 16:00:00+01:00,4468,473,136,9956
2023-01-08 17:00:00+01:00,4795,210,133,10126
2023-01-08 18:00:00+01:00,5199,187,130,10365
2023-01-08 19:00:00+01:00,5231,0,129,10004
2023-01-08 20:00:00+01:00,5009,0,130,10114
2023-01-08 21:00:00+01:00,4638,0,130,10724
2023-01-08 22:00:00+01:00,4501,0,127,11491
2023-01-08 23:00:00+01:00,4443,0,127,12514
2023-01-09 00:00:00+01:00,4359,0,127,13228
2023-01-09 01:00:00+01:00,4292,0,131,13635
2023-01-09 02:00:00+01:00,4278,0,132,13776
2023-01-09 03:00:00+01:00,4231,0,131,14110
2023-01-09 04:00:00+01:00,4131,0,135,14100
2023-01-09 05:00:00+01:00,4136,0,141,14027
2023-01-09 06:00:00+01:00,4616,0,139,13545
2023-01-09 07:00:00+01:00,5143,0,135,13336
2023-01-09 08:00:00+01:00,5840,322,125,12832
2023-01-09 09:00:00+01:00,6001,1134,123,12866
2023-01-09 10:00:00+01:00,5775,2542,117,12889
2023-01-09 11:00:00+01:00,5663,3595,111,12896
2023-01-09 12:00:00+01:00,5581,4249,112,13236
2023-01-09 13:00:00+01:00,5503,4342,115,13245
2023-01-09 14:00:00+01:00,5346,3424,110,13198
2023-01-09 15:00:00+01:00,5469,2172,110,13276
2023-01-09 16:00:00+01:00,5690,866,115,12688
2023-01-09 17:00:00+01:00,6199,242,120,12134
2023-01-09 18:00:00+01:00,6706,195,124,11882
2023-01-09 19:00:00+01:00,6712,0,123,11448
2023-01-09 20:00:00+01:00,6450,0,124,10433
2023-01-09 21:00:00+01:00,6001,0,123,9503
2023-01-09 22:00:00+01:00,5705,0,122,9368
2023-01-09 23:00:00+01:00,5416,0,124,9171
2023-01-10 00:00:00+01:00,5363,0,123,8528
2023-01-10 01:00:00+01:00,5293,0,125,7593
2023-01-10 02:00:00+01:00,5287,0,126,7382
2023-01-10 03:00:00+01:00,5218,0,123,7135
2023-01-10 04:00:00+01:00,5220,0,125,6779
2023-01-10 05:00:00+01:00,5325,0,123,6672
2023-01-10 06:00:00+01:00,5676,0,117,6702
2023-01-10 07:00:00+01:00,6499,0,115,6770
2023-01-10 08:00:00+01:00,6759,316,113,7177
2023-01-10 09:00:00+01:00,6787,1150,114,7707
2023-01-10 10:00:00+01:00,6719,2704,112,8447
2023-01-10 11:00:00+01:00,6474,3980,114,9688
2023-01-10 12:00:00+01:00,6272,4565,116,11164
2023-01-10 13:00:00+01:00,6125,4578,115,11811
2023-01-10 14:00:00+01:00,6024,3990,114,12229
2023-01-10 15:00:00+01:00,5798,2579,117,12607
2023-01-10 16:00:00+01:00,5864,1007,121,12823
2023-01-10 17:00:00+01:00,6120,252,118,13075
2023-01-10 18:00:00+01:00,6404,200,123,13318
2023-01-10 19:00:00+01:00,6362,0,123,13593
2023-01-10 20:00:00+01:00,5740,0,126,13970
2023-01-10 21:00:00+01:00,5555,0,126,14055
2023-01-10 22:00:00+01:00,5404,0,124,13746
2023-01-10 23:00:00+01:00,5330,0,123,13590
2023-01-11 00:00:00+01:00,5342,0,126,13397
2023-01-11 01:00:00+01:00,5348,0,124,13329
2023-01-11 02:00:00+01:00,5384,0,125,13045
2023-01-11 03:00:00+01:00,5255,0,128,12778
2023-01-11 04:00:00+01:00,5284,0,127,12462
2023-01-11 05:00:00+01:00,5264,0,125,11232
2023-01-11 06:00:00+01:00,5275,0,123,9993
2023-01-11 07:00:00+01:00,5582,0,117,9462
2023-01-11 08:00:00+01:00,6246,297,122,8998
2023-01-11 09:00:00+01:00,6330,913,121,8430
2023-01-11 10:00:00+01:00,6287,2028,120,8108
2023-01-11 11:00:00+01:00,6003,2815,122,8402
2023-01-11 12:00:00+01:00,5550,3377,119,9663
2023-01-11 13:00:00+01:00,5449,3494,122,10697
2023-01-11 14:00:00+01:00,5487,2895,125,11091
2023-01-11 15:00:00+01:00,5714,2013,126,11239
2023-01-11 16:00:00+01:00,6022,837,120,11136
2023-01-11 17:00:00+01:00,6141,246,108,11329
2023-01-11 18:00:00+01:00,6199,197,106,11986
2023-01-11 19:00:00+01:00,6184,0,106,12600
2023-01-11 20:00:00+01:00,5799,0,107,12810
2023-01-11 21:00:00+01:00,5473,0,109,13305
2023-01-11 22:00:00+01:00,5322,0,112,13428
2023-01-11 23:00:00+01:00,5340,0,113,13512
2023-01-12 00:00:00+01:00,5310,0,114,13722
2023-01-12 01:00:00+01:00,5271,0,115,13867
2023-01-12 02:00:00+01:00,5292,0,115,13806
2023-01-12 03:00:00+01:00,5215,0,108,13767
2023-01-12 04:00:00+01:00,5106,0,115,13923
2023-01-12 05:00:00+01:00,5120,0,114,14054
2023-01-12 06:00:00+01:00,5260,0,110,14151
2023-01-12 07:00:00+01:00,5627,0,108,14487
2023-01-12 08:00:00+01:00,6123,310,107,14422
2023-01-12 09:00:00+01:00,6211,1126,110,14226
2023-01-12 10:00:00+01:00,5766,2508,111,14146
2023-01-12 11:00:00+01:00,5320,3890,112,14065
2023-01-12 12:00:00+01:00,5320,4126,110,13980
2023-01-12 13:00:00+01:00,5250,3960,108,13919
2023-01-12 14:00:00+01:00,5340,3073,110,13969
2023-01-12 15:00:00+01:00,5366,1836,112,14056
2023-01-12 16:00:00+01:00,5449,726,110,14085
2023-01-12 17:00:00+01:00,5857,231,109,14216
2023-01-12 18:00:00+01:00,6192,199,111,14117
2023-01-12 19:00:00+01:00,6245,0,111,14065
2023-01-12 20:00:00+01:00,5757,0,111,13811
2023-01-12 21:00:00+01:00,5261,0,112,13525
2023-01-12 22:00:00+01:00,5203,0,113,13038
2023-01-12 23:00:00+01:00,5163,0,116,12748
2023-01-13 00:00:00+01:00,4973,0,116,12419
2023-01-13 01:00:00+01:00,4881,0,116,12321
2023-01-13 02:00:00+01:00,4978,0,116,12537
2023-01-13 03:00:00+01:00,5018,0,113,12628
2023-01-13 04:00:00+01:00,5007,0,114,12515
2023-01-13 05:00:00+01:00,5048,0,114,12501
2023-01-13 06:00:00+01:00,5233,0,107,12332
2023-01-13 07:00:00+01:00,5864,0,108,12568
2023-01-13 08:00:00+01:00,6439,285,110,12657
2023-01-13 09:00:00+01:00,6504,830,112,12458
2023-01-13 10:00:00+01:00,6299,2217,112,12236
2023-01-13 11:00:00+01:00,5702,3463,127,12279
2023-01-13 12:00:00+01:00,5537,4301,132,12506
2023-01-13 13:00:00+01:00,5342,4679,134,12888
2023-01-13 14:00:00+01:00,5244,4255,127,12688
2023-01-13 15:00:00+01:00,5267,2922,138,12114
2023-01-13 16:00:00+01:00,5652,1072,137,11129
2023-01-13 17:00:00+01:00,6251,260,140,10351
2023-01-13 18:00:00+01:00,6703,194,135,9914
2023-01-13 19:00:00+01:00,6565,0,135,9177
2023-01-13 20:00:00+01:00,6158,0,139,8367
2023-01-13 21:00:00+01:00,5764,0,142,8018
2023-01-13 22:00:00+01:00,5668,0,142,7565
2023-01-13 23:00:00+01:00,5666,0,143,7341
2023-01-14 00:00:00+01:00,5498,0,147,7311
2023-01-14 01:00:00+01:00,5281,0,149,7177
2023-01-14 02:00:00+01:00,5086,0,149,7611
2023-01-14 03:00:00+01:00,5082,0,150,8148
2023-01-14 04:00:00+01:00,4947,0,152,9421
2023-01-14 05:00:00+01:00,5001,0,148,10780
2023-01-14 06:00:00+01:00,5000,0,143,11913
2023-01-14 07:00:00+01:00,5044,0,140,12945
2023-01-14 08:00:00+01:00,5427,324,140,13675
2023-01-14 09:00:00+01:00,5637,1009,141,14110
2023-01-14 10:00:00+01:00,5612,2203,139,14469
2023-01-14 11:00:00+01:00,5457,3088,138,14653
2023-01-14 12:00:00+01:00,5316,3662,139,14760
2023-01-14 13:00:00+01:00,5004,3665,140,14784
2023-01-14 14:00:00+01:00,4884,3023,144,14777
2023-01-14 15:00:00+01:00,4951,1836,143,14623
2023-01-14 16:00:00+01:00,5056,698,143,14392
2023-01-14 17:00:00+01:00,5472,240,141,13889
2023-01-14 18:00:00+01:00,5654,203,140,13479
2023-01-14 19:00:00+01:00,5677,0,141,12831
2023-01-14 20:00:00+01:00,5253,0,138,11985
2023-01-14 21:00:00+01:00,5037,0,140,11045
2023-01-14 22:00:00+01:00,4956,0,144,11038
2023-01-14 23:00:00+01:00,4906,0,146,10250
2023-01-15 00:00:00+01:00,4777,0,144,9152
2023-01-15 01:00:00+01:00,4633,0,145,8677
2023-01-15 02:00:00+01:00,4523,0,144,8438
2023-01-15 03:00:00+01:00,4486,0,144,9129
2023-01-15 04:00:00+01:00,4401,0,145,9931
2023-01-15 05:00:00+01:00,4368,0,145,10519
2023-01-15 06:00:00+01:00,4586,0,141,10835
2023-01-15 07:00:00+01:00,4591,0,142,11699
2023-01-15 08:00:00+01:00,4759,289,141,12279
2023-01-15 09:00:00+01:00,4890,818,142,12903
2023-01-15 10:00:00+01:00,5031,2196,139,13319
2023-01-15 11:00:00+01:00,4949,3902,141,13845
2023-01-15 12:00:00+01:00,4979,4774,139,14529
2023-01-15 13:00:00+01:00,4825,4520,137,14765
2023-01-15 14:00:00+01:00,4592,3396,134,14677
2023-01-15 15:00:00+01:00,4520,2234,138,14177
2023-01-15 16:00:00+01:00,4629,953,138,13520
2023-01-15 17:00:00+01:00,5053,257,138,13096
2023-01-15 18:00:00+01:00,5549,193,137,13142
2023-01-15 19:00:00+01:00,5717,0,138,13075
2023-01-15 20:00:00+01:00,5319,0,136,13096
2023-01-15 21:00:00+01:00,5132,0,138,12998
2023-01-15 22:00:00+01:00,5066,0,141,12721
2023-01-15 23:00:00+01:00,4914,0,140,12543
2023-01-16 00:00:00+01:00,4677,0,140,12789
2023-01-16 01:00:00+01:00,4733,0,137,13342
2023-01-16 02:00:00+01:00,4768,0,132,13738
2023-01-16 03:00:00+01:00,4714,0,124,14291
2023-01-16 04:00:00+01:00,4777,0,125,14328
2023-01-16 05:00:00+01:00,4972,0,123,14455
2023-01-16 06:00:00+01:00,5388,0,118,14285
2023-01-16 07:00:00+01:00,5861,0,115,13626
2023-01-16 08:00:00+01:00,6216,280,116,12568
2023-01-16 09:00:00+01:00,6325,705,114,11726
2023-01-16 10:00:00+01:00,6264,1624,112,11482
2023-01-16 11:00:00+01:00,5917,2405,110,11931
2023-01-16 12:00:00+01:00,5725,2851,111,12850
2023-01-16 13:00:00+01:00,5597,3074,113,12940
2023-01-16 14:00:00+01:00,5457,2498,115,13428
2023-01-16 15:00:00+01:00,5525,1712,113,13596
2023-01-16 16:00:00+01:00,5668,617,112,12602
2023-01-16 17:00:00+01:00,6234,233,108,11030
2023-01-16 18:00:00+01:00,6576,199,110,9551
2023-01-16 19:00:00+01:00,6614,0,113,7946
2023-01-16 20:00:00+01:00,6248,0,115,6386
2023-01-16 21:00:00+01:00,5730,0,116,5325
2023-01-16 22:00:00+01:00,5632,0,117,4055
2023-01-16 23:00:00+01:00,5323,0,121,3305
2023-01-17 00:00:00+01:00,5190,0,121,2831
2023-01-17 01:00:00+01:00,5168,0,122,2540
2023-01-17 02:00:00+01:00,5175,0,121,2088
2023-01-17 03:00:00+01:00,4985,0,123,1799
2023-01-17 04:00:00+01:00,4969,0,119,1739
2023-01-17 05:00:00+01:00,5108,0,118,1992
2023-01-17 06:00:00+01:00,5536,0,115,2349
2023-01-17 07:00:00+01:00,6113,0,112,2880
2023-01-17 08:00:00+01:00,6629,304,114,3228
2023-01-17 09:00:00+01:00,6771,783,111,3444
2023-01-17 10:00:00+01:00,6637,1755,112,3433
2023-01-17 11:00:00+01:00,6572,2510,109,3325
2023-01-17 12:00:00+01:00,6338,3084,113,3482
2023-01-17 13:00:00+01:00,5921,3001,116,3769
2023-01-17 14:00:00+01:00,5806,2484,113,3794
2023-01-17 15:00:00+01:00,6017,1713,114,3761
2023-01-17 16:00:00+01:00,6203,661,110,4131
2023-01-17 17:00:00+01:00,6515,244,111,4342
2023-01-17 18:00:00+01:00,6769,200,111,4541
2023-01-17 19:00:00+01:00,6845,0,115,4626
2023-01-17 20:00:00+01:00,6249,0,116,4654
2023-01-17 21:00:00+01:00,5817,0,115,4775
2023-01-17 22:00:00+01:00,5663,0,114,4640
2023-01-17 23:00:00+01:00,5438,0,114,4684
2023-01-18 00:00:00+01:00,5293,0,118,4355
2023-01-18 01:00:00+01:00,5197,0,114,4194
2023-01-18 02:00:00+01:00,5187,0,112,4155
2023-01-18 03:00:00+01:00,5042,0,111,3933
2023-01-18 04:00:00+01:00,4943,0,112,3721
2023-01-18 05:00:00+01:00,5026,0,109,3266
2023-01-18 06:00:00+01:00,5356,0,105,3114
2023-01-18 07:00:00+01:00,6031,0,105,2952
2023-01-18 08:00:00+01:00,6672,348,108,2797
2023-01-18 09:00:00+01:00,6721,1319,112,2674
2023-01-18 10:00:00+01:00,6732,3350,108,2944
2023-01-18 11:00:00+01:00,6641,4707,111,2793
2023-01-18 12:00:00+01:00,6122,5148,113,2975
2023-01-18 13:00:00+01:00,5762,4893,115,3375
2023-01-18 14:00:00+01:00,5657,4139,110,3883
2023-01-18 15:00:00+01:00,5623,2600,111,4167
2023-01-18 16:00:00+01:00,5863,951,113,4317
2023-01-18 17:00:00+01:00,6315,251,115,4755
2023-01-18 18:00:00+01:00,6788,197,113,4816
2023-01-18 19:00:00+01:00,6887,0,115,4829
2023-01-18 20:00:00+01:00,6489,0,116,4682
2023-01-18 21:00:00+01:00,6186,0,114,4370
2023-01-18 22:00:00+01:00,5765,0,114,4252
2023-01-18 23:00:00+01:00,5781,0,123,4062
2023-01-19 00:00:00+01:00,5569,0,155,3640
2023-01-19 01:00:00+01:00,5333,0,162,3515
2023-01-19 02:00:00+01:00,5205,0,141,3330
2023-01-19 03:00:00+01:00,5186,0,168,3049
2023-01-19 04:00:00+01:00,5226,0,171,2774
2023-01-19 05:00:00+01:00,5394,0,172,2533
2023-01-19 06:00:00+01:00,5790,0,162,2480
2023-01-19 07:00:00+01:00,6483,0,163,2437
2023-01-19 08:00:00+01:00,6980,366,161,2446
2023-01-19 09:00:00+01:00,7207,1238,154,2318
2023-01-19 10:00:00+01:00,7192,2671,153,2243
2023-01-19 11:00:00+01:00,7012,3603,167,2191
2023-01-19 12:00:00+01:00,6638,3845,175,2225
2023-01-19 13:00:00+01:00,6414,3683,176,2226
2023-01-19 14:00:00+01:00,6183,2950,179,2233
2023-01-19 15:00:00+01:00,6093,1868,179,2246
2023-01-19 16:00:00+01:00,6328,725,180,2072
2023-01-19 17:00:00+01:00,6901,254,182,1876
2023-01-19 18:00:00+01:00,7238,217,183,1742
2023-01-19 19:00:00+01:00,7223,0,184,1845
2023-01-19 20:00:00+01:00,6658,0,183,1654
2023-01-19 21:00:00+01:00,6260,0,174,1702
2023-01-19 22:00:00+01:00,6147,0,180,1793
2023-01-19 23:00:00+01:00,5924,0,185,1944
2023-01-20 00:00:00+01:00,5556,0,160,2084
2023-01-20 01:00:00+01:00,5325,0,130,2077
2023-01-20 02:00:00+01:00,5161,0,130,2092
2023-01-20 03:00:00+01:00,5111,0,130,2174
2023-01-20 04:00:00+01:00,5205,0,131,2322
2023-01-20 05:00:00+01:00,5326,0,127,2425
2023-01-20 06:00:00+01:00,5900,0,123,2515
2023-01-20 07:00:00+01:00,6649,0,123,2580
2023-01-20 08:00:00+01:00,7165,390,125,2561
2023-01-20 09:00:00+01:00,7373,1406,120,2640
2023-01-20 10:00:00+01:00,7373,3207,117,2862
2023-01-20 11:00:00+01:00,7177,4467,127,2971
2023-01-20 12:00:00+01:00,6744,5248,130,3133
2023-01-20 13:00:00+01:00,6422,5523,129,3445
2023-01-20 14:00:00+01:00,5968,5248,130,3908
2023-01-20 15:00:00+01:00,5796,3814,131,3893
2023-01-20 16:00:00+01:00,6161,1658,130,3750
2023-01-20 17:00:00+01:00,6788,370,130,3661
2023-01-20 18:00:00+01:00,7114,218,130,4128
2023-01-20 19:00:00+01:00,7061,0,130,4753
2023-01-20 20:00:00+01:00,6562,0,131,5221
2023-01-20 21:00:00+01:00,6173,0,130,5040
2023-01-20 22:00:00+01:00,5981,0,130,4879
2023-01-20 23:00:00+01:00,5701,0,134,5176
2023-01-21 00:00:00+01:00,5442,0,134,5579
2023-01-21 01:00:00+01:00,5119,0,134,5984
2023-01-21 02:00:00+01:00,4924,0,133,6226
2023-01-21 03:00:00+01:00,4764,0,135,6575
2023-01-21 04:00:00+01:00,4607,0,133,6657
2023-01-21 05:00:00+01:00,4507,0,132,6727
2023-01-21 06:00:00+01:00,4605,0,132,6787
2023-01-21 07:00:00+01:00,4720,0,129,7152
2023-01-21 08:00:00+01:00,4970,419,128,7680
2023-01-21 09:00:00+01:00,5259,1606,132,7948
2023-01-21 10:00:00+01:00,5499,3678,124,7423
2023-01-21 11:00:00+01:00,5348,5106,130,6764
2023-01-21 12:00:00+01:00,5144,5828,132,6441
2023-01-21 13:00:00+01:00,4931,5610,132,6325
2023-01-21 14:00:00+01:00,4767,4922,134,6448
2023-01-21 15:00:00+01:00,4683,3482,132,6743
2023-01-21 16:00:00+01:00,4887,1505,134,6942
2023-01-21 17:00:00+01:00,5351,362,130,7119
2023-01-21 18:00:00+01:00,5779,219,134,7741
2023-01-21 19:00:00+01:00,5984,0,132,7927
2023-01-21 20:00:00+01:00,5536,0,131,7608
2023-01-21 21:00:00+01:00,5321,0,132,7197
2023-01-21 22:00:00+01:00,5256,0,131,6680
2023-01-21 23:00:00+01:00,5250,0,135,6100
2023-01-22 00:00:00+01:00,4975,0,129,5892
2023-01-22 01:00:00+01:00,4773,0,131,5729
2023-01-22 02:00:00+01:00,4840,0,135,5367
2023-01-22 03:00:00+01:00,4271,0,134,5175
2023-01-22 04:00:00+01:00,3995,0,131,5064
2023-01-22 05:00:00+01:00,3962,0,126,5093
2023-01-22 06:00:00+01:00,4141,0,126,5223
2023-01-22 07:00:00+01:00,4305,0,124,5299
